"client_id","regis_ids"
1,"{2,354}"
12,"{21,610,401,103,625,401,104,586,401,104,907,401,105,321,62,973,27,310,28,492,3,058,401,105,328,401,104,888,21,450,400,498,453,40,047,366,401,105,350,312,496,401,105,291,29,094,81,054,52,834,400,691,058,401,104,301,3,344,319,916,401,103,416,401,105,307,7,508,15,827,401,105,226,67,535,401,103,284,401,103,685,85,014,401,103,263,1,502,401,105,788,401,105,233,35,968,9,658,400,829,463,77,993,401,105,383,401,105,613,401,105,076,48,942,401,105,602,401,103,264,400,352,617,1,898,303,792,401,104,702,70,778,400,469,321,401,103,165,13,574,401,104,011,401,105,346,80,213,401,105,373,4,631,18,001,401,104,363,401,103,570,400,454,181,13,005,401,103,564,401,104,858,40,038,310,13,858,401,104,415,401,104,260,48,188,401,103,605,17,933,39,600,400,460,287,401,105,068,401,104,178,40,101,401,103,216,2,013,28,253,30,564,321,191,400,869,547,400,713,145,401,105,098,4,050,76,252,401,103,556,401,103,385,288,293,401,104,418,401,104,610,401,105,713,401,104,158,401,104,672,113,1,466,401,104,564,54,585,401,105,760,400,458,234,59,650,22,883,401,103,587,401,104,808,75,251,401,105,600,37,653,38,767,401,027,897,401,103,499,2,833,323,158,401,103,888,38,483,401,105,720,297,933,58,250,401,103,966,400,705,117,401,105,173,401,070,011,14,611,8,225,400,918,672,28,561,401,104,895,401,104,044,401,105,478,401,104,645,401,105,089,26,455,400,375,724,401,103,498,400,479,360,401,104,259,400,367,702,401,105,708,63,110,401,105,184,400,325,523,401,103,527,291,435,401,105,689,401,105,689,2,627,300,515,87,778,400,456,194,52,925,3,834,401,105,387,401,103,261,401,105,460,19,547,401,104,979,305,511,400,728,185,21,131,26,535,401,104,596,297,237,400,459,270,298,012,400,745,227,40,006,039,401,105,418,14,495,401,104,542,401,104,766,401,104,765,29,595,401,104,426,400,436,108,304,337,400,469,321,401,085,040,23,485,401,103,745,400,618,875,400,520,538,401,105,459,401,105,026,401,105,457,401,104,914,401,105,545,32,908,401,075,023,400,606,844,28,140,311,314,401,105,731,2,365,400,633,916,69,195,401,103,816,401,104,869,7,736,401,105,261,40,010,400,384,776,401,105,561,400,935,705,316,616,89,350,314,658,401,105,748,2,536,287,918,29,128,321,817,443,401,105,649,3,286,40,005,030,400,297,400,401,105,712,401,103,810,9,044,305,431,401,104,475,400,342,587,4,540,401,095,057,14,781,323,717,50,400,401,105,616,401,103,542,401,104,567,11,025,401,105,670,16,271,401,104,787,3,812,63,690,401,103,114,401,104,213,286,074,40,008,062,55,028,401,105,302,401,105,103,400,311,455,33,157,23,838,401,105,656,2,775,401,063,997,38,381,401,105,507,40,046,361,400,661,993,401,105,338,400,484,391,400,361,684,40,006,037,400,706,118,401,105,414,401,025,893,401,103,617,310,335,400,418,988,401,105,080,401,105,366,2,616,400,679,025,3,572,400,315,470,26,967,400,383,768,401,103,355,401,105,829,401,104,872,401,105,198,1,810,401,105,274,401,105,626,401,103,489,401,105,690,401,105,756,46,222,67,455,400,612,859,318,276,19,764,401,104,664,400,286,365,76,354,400,268,225,32,885,20,447,38,552,6,963,401,105,146,59,912,401,104,854,401,104,420,38,426,401,104,481,11,468,401,104,049,71,234,15,463,296,932,24,806,401,105,011,7,725,401,103,915,401,105,218}"
24,"{401,104,724,401,105,026,45,653,400,679,025,401,104,417,38,494,401,103,385,400,918,672,401,104,869,75,876,33,124,401,026,894,401,105,350,308,731,33,454,400,665,998,401,105,460,401,104,854,401,103,355,401,103,987,401,104,596,401,104,782,12,061,401,104,418,36,127,401,103,511,401,105,307,401,104,650,401,025,893,400,753,253,400,384,769,53,163,401,105,068,401,103,307,401,104,904,52,880,400,829,463,401,103,242,24,486,401,103,745,3,413,34,477,401,105,133,401,105,076,401,105,491,401,104,907,401,105,021,401,104,475,401,050,963,400,927,689,400,497,445,298,012,401,104,914,400,671,008,401,103,542,401,104,494,401,104,990,401,104,213,401,105,545,400,454,181,401,105,150,400,883,583,401,105,146}"
30,"{291,093}"
36,"{85,014,400,454,181,401,104,301,22,746,401,104,869,400,829,463,400,693,064,401,104,543,400,394,855,401,104,494,401,104,213,401,103,564,401,104,049,74,498,23,838,401,104,417,288,293,401,103,692,401,104,260,401,104,596,401,103,986,401,063,997,305,338,401,104,340,31,918,401,103,385,58,250,401,104,895,401,103,115,290,811,32,500,400,748,240,401,025,893,400,339,575,400,326,528,400,823,440,400,679,025,401,104,914,400,665,998,46,084,309,971,401,105,491,304,337,304,554,69,550,75,876,13,448,22,883,319,916,401,104,610,400,383,768,68,376,285,552,401,103,966,401,103,720,401,104,782,401,103,489,401,105,307,400,384,769,400,428,066,315,592,400,432,093,401,105,133,401,103,216,400,927,689,24,271}"
48,"{401,104,418,401,104,888,34,843,401,103,115,400,646,949,53,163,401,025,893,401,103,489,401,104,049,319,916,400,829,463,401,105,133,40,025,211,401,103,385,400,665,998,401,104,895,401,103,702,401,103,966,45,835,401,103,556,24,271,296,817,401,104,468,40,013,094,401,105,491,400,693,064,400,326,528,40,025,199,401,104,340,401,105,021,401,103,224,401,104,787,401,104,724,400,927,689,401,104,475,401,104,869,401,103,745,401,104,426,16,681,401,103,986,401,104,417}"
51,"{401,105,307,73,134,400,829,463,400,665,998,33,454,401,105,068,401,104,049,58,250,322,578,400,520,537,35,800,79,951,400,361,684,288,293,401,103,987,401,104,724,401,104,417,318,356,401,027,897,157,40,025,211,324,412,401,104,403,401,105,021,401,070,011,401,104,888,401,103,307,401,103,115,69,696,401,105,491,401,104,468,53,163,48,691,401,104,787,33,124,400,693,064,304,337,32,500,401,025,893,400,882,581}"
63,"{401,103,542,401,104,418,400,361,684,401,104,417,298,012,400,498,453,400,693,064,292,697,401,104,468,6,848,401,104,741,401,105,068,400,665,998,314,432,400,400,892,401,104,340,322,578,401,104,869,401,103,307,401,105,021,401,103,702,401,104,543,401,104,403,401,104,475,401,104,888,401,104,567,291,834,401,027,897,401,103,489,401,103,555,22,883,401,103,314,401,103,556,401,104,213}"
75,"{401,104,213,305,236,401,105,021,46,084,401,104,314,304,337,86,298,79,951,401,104,741,314,432,401,104,417,400,665,998,401,025,893,296,817,400,428,072,9,911,321,555,34,843,85,014,401,104,340,401,104,468,89,350,400,454,181,400,400,892,76,252,401,105,150,22,883,33,875,401,104,418,17,818,401,104,475,401,103,555,288,293,401,103,542,82,170,401,103,743}"
87,"{401,104,417,401,105,068,401,104,869,6,848,16,681,400,508,502,401,103,307,304,554,401,105,021,17,818,400,432,093,400,297,400,296,817,22,883,401,104,475,400,693,064,322,578,318,356,400,646,949,401,104,213,400,498,453,400,670,003,401,104,340,17,226,400,535,604,401,103,489,400,400,892,401,103,743}"
